salt,solvent,concentration,solv_per_ion_pair
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCC1(OC(=O)OC)CCC(C)C1,0.3,17.31
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CC1C(=O)C2CCCC2C1=O,1.32,4.25
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCON(C)C(C)C1CCCS1,0.66,7.42
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCCCC1CC1C1C(=O)CCC1C,1.5,2.86
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CC1COCCCC1(C)C,0.74,8.73
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCC(=O)C(CCC(C)C)OC,1.19,4.24
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCC1CCCC(=O)C1Cl,0.66,8.75
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CC(C)C(C)CCCC(=O)C#N,0.43,13.25
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCCC(=O)OSC,1.46,4.28
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CC(=O)C1C2CCC(CSC2)C1C,0.3,16.25
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCC1CCC2C3CCC3OC(=O)C12,1.14,3.95
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCC(CCC(C)C(C)C)OC,0.43,12.86
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCS(=O)(=O)CCCC(C)(C)C,0.43,11.52
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCCC1(C)CC(=O)C12CCCC2C,0.57,8.46
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCCC1C2CCC(C)C(C)C12OC,0.7,6.72
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCC1(C#N)CCCCC(=O)O1,1.1,4.78
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCC1(C(C)(C)C)OOC1=O,1.28,4.24
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CC(F)C(=O)C1(C)CCCO1,1.41,3.74
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCC(C)(C)CCC(=O)N1CCCO1,0.48,9.9
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCC(C)C(OOC)C(C)C(C)C,1.32,3.44
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCC(CC)OC1CC(=O)CC1CC,0.34,14.28
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CC(=O)CC1C(C)C2CCC1(C#N)C2,0.48,10.32
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCCC(C)OC(=O)OC(C)=O,0.66,8.07
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCC12CC(CCCCC1=O)C2,0.88,6.17
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCCOC(=O)C(C)C1CCC1CC,0.79,5.83
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CC12CCC3CCC(C1)C2COC3,1.1,4.11
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CCCC(=O)C(=O)OC,0.88,7.43
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CC1C(=O)C2CCCC2C1=O,0.92,6.03
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CC(=O)C(C)C1CC(C)C(C)C1,0.39,14.23
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CC1CC2CC(C2)C(C)C(=O)OC1C,1.32,3.0
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CCCC(=O)OSC,0.43,16.07
[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CCCCC(C)(CC)CCC(C)=O,0.52,9.52
