smiles,mol_weight,n_oxygen,n_heavy,solvent_key
CCCCC1CC1C1C(=O)CCC1C,194.318,1,14,S36c1e53a8081
CC1CC2C3C(C)(C)CCC23O1,166.264,1,12,S189d47b3f15d
CCOC(=O)CC1CC1C1CCCC1,196.29,2,14,S7a56115b4c36
COC1CCCC(C2CCC3CC32)C1,194.318,1,14,Sd269ffaefcd5
CCCCCOC(=O)C(C)C,158.241,2,11,Sd1dc43143f43
CC1CCCC(C)S(=O)(=O)CC1,190.308,2,12,S468a1305e7ef
CC(=O)OCP,106.061,2,6,Sf9576e27998a
C=Cc1ccc(C(C)=O)s1,152.218,1,10,Sa86757a9ca26
CCCC(=O)C(CC)CC(C)(C)F,188.286,1,13,Se54e5e1458a3
CCCCC(=O)C(C)(C)C(C)CC,184.323,1,13,Sfd23e7eb1b3a
COC1C(C(C)=O)C2CCC3CC31C2,194.274,2,14,Sb4f22c20dd4f
CCS(=O)(=O)CCCC(C)(C)F,196.287,2,12,Sdf29eb5de996
CC1CC(CCC(=O)OC(C)(C)C)C1,198.306,2,14,Sc3908a32053f
CC(=O)C1CC(C)CCC1C,154.253,1,11,S43e65862d143
CCCCC(C)CC(=O)CC,156.269,1,11,S4c6e570a4396
CCCC(C)N(CC)CC(=O)CC,185.311,1,13,Sda541a8e3cb1
CCC12COC(CC1C)CC2(C)C,182.307,1,13,Sc89b2e9a7cc2
CC1CC2CCCC(C(C)C)(C1)C2=O,194.318,1,14,Sba2151eeb424
CCCC(C(C)C)C(C)C(=O)OC,186.295,2,13,S154d08ee4719
CSC1(C)CCC(=O)C(C)C1,172.293,1,11,S44dfa170824f
CCCCC(C)C(=O)C1CO1,156.225,2,11,Sfcbb517ad521
CC1C2CC3CC14CC32CC4=O,162.232,1,12,S3be81ebf022a
CCCCC(C)C(C)SOC,176.325,1,11,Se732b32e0b9a
CCC1CCCCC(CC)C(=O)O1,184.279,2,13,S6b77d1171968
CC(C)C(C)OC(C)C(F)(F)F,184.201,1,12,Sd3005650658b
CCC(=O)C(C)CS(=O)C(C)C,190.308,2,12,S7bbcb126e0fa
CCCC(=O)CC(CC#N)C(C)(C)C,195.306,1,14,S948c8fb83d94
CC1CCC(=O)C(C)(C)CC1C,168.28,1,12,S9a3e48c7329e
CCC1C(C)CC12CCS2(=O)=O,188.292,2,12,S148aedf1b044
CCCCC(C)C(=O)C(C)(C#N)CC,195.306,1,14,Sa4b7429fc237
COCC(CC(C)C)C12CCCC1C2,196.334,1,14,Sd36c3e562983
CC(CS(C)(=O)=O)C(F)CF,186.223,2,11,Sdaeeb9e5227e
CCN(C)S(=O)(=O)CC(C)C,179.285,2,11,S42f2c28623a2
CC1C(=O)C(C#N)CC2CCCC21,177.247,1,13,S6eddb517b5ea
COC(=O)C(C)CC(C)(C)C(C)C,186.295,2,13,S44b9815d0bb6
CCC1CCC2OC(=O)OC12,156.181,3,11,S44b0ad759a7a
CCC(C)C1CCC(CCOC)C1,184.323,1,13,S4661e232cb14
COC(=O)CC1(CC(C)C)CCC1,184.279,2,13,S1dd77507259b
CCCOC(=O)OCCC(C)OC,190.239,4,13,Sfa9b574ca493
CCC1CC2C(OC)CC(C)C2(C)C1,196.334,1,14,Sed183be5a1b2
CC12CCCC1(C)C(C(=O)C#N)CC2,191.274,1,14,Sd9dc0fe3209c
CCC1(OOC)CC1C,130.187,2,9,Se3c539fd0daf
COC(=O)C1CCCC(C(C)C)C1C,198.306,2,14,Sf1704d9e49e2
CC(=O)CC(C)CCOC(C)=O,172.224,3,12,S306bd578470e
CC1CC(CC(=O)C#N)C1,137.182,1,10,Sb803f99d9dd9
CCCC(CC)COC(=O)OCC,188.267,3,13,S741ce2435b05
CCCCC(C)(CC)CCC(C)=O,184.323,1,13,S7a6b389b9d55
CCC(CC)C(=O)CS(C)(=O)=O,192.28,3,12,Sd3ae60486a18
