key,row_index,csv_line,cation,anion,salt_smi,solvent_smi,molarity,molarity_actual,molarity_err_pct,n_solvent,n_salt,solv_per_ion_pair,n_atoms,box_build_nm,box_equil_nm,net_charge,q_scale,stage,has_xtc,density_g_cm3,prod_ns_day,cn_solv_O,cn_anion,cn_total,ssip,cip,agg,rdf_MO_peak_A,shell_cutoff_A,shell_cutoff_from_rdf,n_frames_used,clust_cutoff_A,clust_cutoff_from_rdf,rdf_cat_an_peak_A,n_components,n_components_sd,n_clusters,n_clusters_sd,free_cation_frac,mean_cluster_size,max_cluster_size,largest_cluster_frac,percolating_frac,mean_cluster_charge
el02617350b870,34,36,Li,TFSI,[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CCC(C)CC(C)=O,0.7,0.5971739682344879,-14.689433109358871,706,64,11.03125,16556,6.1585,5.624829999999999,-0.0,0.8,prod,True,0.9221467181043099,383.122,4.1895,0.3992,4.5888,0.7355,0.2419,0.0226,2.07,3.03,True,401.0,2.77,True,2.13,110.095,3.255,15.796,2.769,0.7429,2.137,3.109,0.0243,0.0,-0.0531
el062b42f57acd,33,35,Li,TFSI,[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,COC(=O)CC1CCCCCC(C)C1,1.5,1.4913584235536657,-0.5761050964222895,161,64,2.515625,6820,4.7768,4.14587,0.0,0.8,prod,True,1.1667739732054985,673.686,1.9735,2.7958,4.7693,0.062,0.2002,0.7378,2.05,2.85,True,401.0,3.01,True,2.11,16.841,1.034,12.905,1.153,0.0615,9.689,32.493,0.2538,0.0,-0.3086
el06d31c59a7fa,126,128,Li,ClO4,[Li+].[O-]Cl(=O)(=O)=O,CCC1CC(C)(CC)C(=O)CC1(C)C,0.39,0.35830653894508596,-8.126528475618986,815,64,12.734375,31354,7.4843,6.668959999999999,0.0,0.8,prod,True,0.9247363307976265,204.232,3.2376,1.3209,4.5586,0.159,0.6201,0.2209,2.05,3.05,True,401.0,2.75,True,2.05,62.075,1.449,43.303,1.439,0.1632,2.523,6.0,0.0469,0.0,-0.0494
el06eb2d7bbf69,46,48,Li,TFSI,[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CCC1(OC(=O)OC)CCC(C)C1,0.83,0.850170497023047,2.4301803642225392,356,64,5.5625,12060,5.8185,5.000049999999999,-0.0,0.8,prod,True,1.1201747963129296,472.827,2.7023,2.019,4.7214,0.1095,0.453,0.4376,2.05,3.13,True,401.0,2.87,True,2.11,44.95,0.758,35.866,0.717,0.1096,3.317,8.96,0.07,0.0,-0.1379
el0b55ee200037,76,78,Li,BF4,[Li+].[B-](F)(F)(F)F,CCC1COC(C)C2CCC2C1C,0.79,0.7338272723371122,-7.110471856061751,425,64,6.640625,15259,5.9151,5.251439999999999,-0.0,0.8,prod,True,0.9578310305965011,351.276,1.3936,3.0523,4.446,0.0,0.1178,0.8822,2.01,2.81,True,401.0,2.81,True,2.05,16.418,0.795,16.413,0.781,0.0,7.815,21.93,0.1713,0.0,0.0003
el0c5fa3ee9ef6,91,93,Li,BF4,[Li+].[B-](F)(F)(F)F,COC(=O)C1CC(C)(F)CC1CF,1.01,1.1238304712076126,11.270343683922038,311,64,4.859375,8781,5.45,4.55592,-0.0,0.8,prod,True,1.159656690029356,525.76,2.2775,2.7261,5.0036,0.0039,0.2959,0.7002,2.07,2.85,True,401.0,2.89,True,2.07,24.085,1.315,23.637,1.655,0.0038,5.422,18.438,0.144,0.0,-0.0018
el0d3cc76cbee4,31,33,Li,TFSI,[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CCCCC(C)(CC)CCC(C)=O,0.52,0.45040895191072444,-13.382893863322225,609,64,9.515625,23557,6.7999,6.179319999999999,0.0,0.8,prod,True,0.9172892615134297,254.037,3.681,1.1895,4.8705,0.4041,0.3923,0.2035,2.07,3.03,True,401.0,2.83,True,2.11,77.279,2.316,29.886,1.975,0.4097,2.701,6.682,0.0522,0.0,-0.1663
el0fe82d94cf10,71,73,Li,Beti,[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CC1CC2CCCC3(CCCC3=O)C12,0.79,0.7909212475328706,0.1166136117557715,345,64,5.390625,13138,5.9151,5.121909999999999,-0.0,0.8,prod,True,1.07719234568145,425.149,2.6986,1.7075,4.4061,0.1911,0.4612,0.3477,2.05,2.99,True,401.0,2.91,True,2.17,52.378,2.644,32.229,1.465,0.1923,3.354,9.443,0.0738,0.0,-0.1392
el1138d9933490,124,126,Li,PF6,[Li+].F[P-](F)(F)(F)(F)F,COCCC(C(C)C)C(C)C,0.97,0.8077642605397288,-16.725333964976407,381,64,5.953125,13085,5.5239,5.086059999999999,0.0,0.8,prod,True,0.8886894950455955,402.613,2.2599,2.2424,4.5022,0.0059,0.3469,0.6472,2.01,2.75,True,401.0,2.73,True,2.09,31.567,1.819,30.861,1.577,0.0057,4.136,12.522,0.0978,0.0,-0.0005
el151002b0db1c,61,63,Li,Beti,[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CCOC(C)OC(=O)OC,0.43,0.4555048718088107,5.931365536932726,906,64,14.15625,21340,7.2446,6.156189999999999,0.0,0.8,prod,True,1.1329307961836341,289.571,3.6275,1.0668,4.6943,0.2226,0.6882,0.0892,2.05,2.77,True,401.0,2.89,True,2.19,72.09,1.673,45.507,1.297,0.2174,2.229,4.517,0.0353,0.0,-0.0271
el174db485fccc,84,86,Li,BF4,[Li+].[B-](F)(F)(F)F,CCC12CC1OC(=O)CCCCC2C,1.06,1.0654068806822603,0.5100830832320992,290,64,4.53125,10244,5.3629,4.637719999999999,-0.0,0.8,prod,True,1.0381504139981264,475.663,2.4762,2.5519,5.0281,0.0503,0.3307,0.6189,2.07,2.93,True,401.0,2.75,True,2.05,35.9,0.92,32.562,0.689,0.0516,3.83,10.672,0.0834,0.0,-0.1004
el19ab8c4f0365,44,46,Li,TFSI,[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CC(CF)C1(CF)CCOC1,0.34,0.36767494450699933,8.139689560882148,1081,64,16.890625,28049,7.8345,6.611829999999999,-0.0,0.8,prod,True,1.1259230160961906,243.62,3.2185,1.0596,4.2781,0.2799,0.6043,0.1158,2.01,2.89,True,401.0,2.85,True,2.11,75.672,2.781,42.413,2.177,0.2813,2.235,4.199,0.0328,0.0,-0.0637
el1dbbf308a0dd,100,102,Li,PF6,[Li+].F[P-](F)(F)(F)(F)F,CC12CCCC1(C)C(C(=O)C#N)CC2,0.61,0.6291213098851702,3.1346409647820077,519,64,8.109375,16601,6.4476,5.527959999999999,0.0,0.8,prod,True,1.0507458957982507,329.542,1.8938,2.774,6.0772,0.0489,0.4548,0.4963,2.13,3.13,True,401.0,2.91,True,2.11,38.378,1.8,33.05,0.88,0.0512,3.714,9.552,0.0746,0.0,-0.0369
