key,smiles
S0093f7b1166e,CCCCC(CC)CC(=O)C1CC1
S00ae5d24d88e,CCC(C(=O)OC)S(=O)(=O)CC
S013fdf74fdc1,CCCCCCC(=O)CC(C)CCC
S06b428d05009,CC1CC2CC(C2)C(C)C(=O)OC1C
S0784587f49f4,CCS(=O)(=O)CCCC(C)(C)C
S0856fd16b158,CCC1CCCCC1C(=O)OC(C)C
S0963cf231b77,CCCC(=O)C(CC)S(C)(=O)=O
S0daec2fd1c9a,COC(=O)C(C)CS(C)(=O)=O
S0debb2ea78ce,CCC1CCC(C)(C)C(=O)C1
S0dfa37ccb00f,CCCC(C)C(C)S(=O)(=O)F
S0e2a3cf7f309,COC(=O)C1CC(C)(F)CC1CF
S0ef33bcac1ff,COC(=O)OCC1C2CCCC1C2
S1001f6556102,CCC1C2CC3CC1(CC3C#N)C2=O
S102a9bcca9d2,CC(=O)C1CCCS(=O)(=O)C1
S105b713f5a46,CCC1(C)CC(=O)CCC1(C)C
S10cf9329fa6e,CCCC12CC(C)C1CC(=O)O2
S11daa9807048,CCC1(C(C)(C)C)OOC1=O
S11dbf603976a,CC(C)C(C)CCCC(=O)C#N
S12fd33700510,CCC(SC)C(=O)OC(C)C
S132a7250d70e,CCCC(C(=O)CC)C(CC)C(C)C
S148aedf1b044,CCC1C(C)CC12CCS2(=O)=O
S154d08ee4719,CCCC(C(C)C)C(C)C(=O)OC
S15e4a5daa0b8,CCS(=O)(=O)CC(C)CCCl
S1714f3826520,CC(=O)C1C2CC3CC(C2)CC1C3
S189d47b3f15d,CC1CC2C3C(C)(C)CCC23O1
S18cb379914cf,CC(C)CCOC(=O)C(C)(C)F
S19e8ece671ac,CCCCC(=O)OCCC(C)C
S1a1cf1d818d4,COC(=O)C1(C)CCCC(=O)C1C
S1ae25b2e2f71,CCCC1CC1(C)C(=O)C#N
S1c0509a5bc15,CCC(CC)(OC(C)=O)C(C)(C)C
S1c44bbe44955,CC1COCC2(C1)C(=O)OCC2C#N
S1dd77507259b,COC(=O)CC1(CC(C)C)CCC1
S1f168c1db747,CC1CCC12CC2C(=O)OC1(C)CC1
S215c3dee5440,CCCCCC(F)C(=O)CN(C)C
S215eed19c40e,CCCC(C)CC(C)S(C)(=O)=O
S21b3f288896b,CCC1(OC(=O)OC)CCC(C)C1
S226863e83430,CCC(CC(C)(F)F)C(=O)CC#N
S22d594f40992,CCCC(=O)C(C)C(=O)CC(C)=O
S235b658d4b26,CCC1OC(=O)CCC1C(C)C
S25d091ed29f0,CCON(C)C(C)C1CCCS1
S2aedd08cf251,CCCC(C)(C)CC(=O)C(C)C(C)C
S2b37bc0ab1b1,CSCC(C(=O)F)C(C)C(C)C
S2b6667448be0,CC(=O)CC(=O)C1(C)CC1C
S2c3975e95d78,CCCOC(=O)C(C)C1CCC1CC
S2c6db26ab6e2,CC1(C(=O)C2CCCCC2=O)CCC1
S2d7695c3830d,CCC(CCC(C)C(C)C)OC
S2d92c9c846f8,CCCCCC(=O)OC(C)CCC
S2dc26f76daea,CC(=O)OC1(C)CCCC(C)(C)C1C
S2fe9daef37e6,COC(=O)OCCCSSC
S306bd578470e,CC(=O)CC(C)CCOC(C)=O
S31bb49561b07,CC(C)(C)CC1CCS1(=O)=O
S32d001e3f3b6,CCOC(=O)C(C#N)(CC)CC(C)C
S33048bd02f4d,CCCCC(=O)C(C)C(C)OC
S33c8ea617033,CCC1C(=O)OC(C)C(C)C1C
S350f767980e6,CCCC(=O)C(=O)OC
S36c1e53a8081,CCCCC1CC1C1C(=O)CCC1C
S39eca86e5cae,CC(C)C(=O)C(=O)C(C)(C)CC#N
S3a7beacdebdd,CCC1CC(C)(CC)C(=O)CC1(C)C
S3aadd3bf5860,COC(=O)OC(CC(C)C)N(C)C
S3b94a1bccd96,COOCC(C)CCC(C)C
S3be81ebf022a,CC1C2CC3CC14CC32CC4=O
S3c2b9a6b3cbf,COC(C)CC1CCCC12CCC2
S3e91070b9bf6,CCCC1(C)CC(CC)C(=O)C1C
S3edb542cccd8,CCCC1(CC)OOOC1C
S3edf6137d9c9,CCCC(CCC(F)F)C(=O)OC
S3f15ac81e06e,CCCCC(=O)C(C)(C)C(C)C
S3fa2564e7f67,CS(=O)(=O)CCCC1CCC1
S4018fef8453d,CCCC1CC2(CCCCC2)CO1
S405908ff67ce,CC(=O)N(OC(=O)OCF)C(C)=O
S4096ac4c09ea,CC1CC(C)(C)C(C)(C)CC1=O
S42a5d3df1f5a,CCC1(C#N)CCCCC(=O)O1
S42f2c28623a2,CCN(C)S(=O)(=O)CC(C)C
S43e65862d143,CC(=O)C1CC(C)CCC1C
S4492192f1d4e,CCC(C)C(CC#N)CCCC(C)=O
S44b0ad759a7a,CCC1CCC2OC(=O)OC12
S44b9815d0bb6,COC(=O)C(C)CC(C)(C)C(C)C
S44dfa170824f,CSC1(C)CCC(=O)C(C)C1
S4614047ca666,CC(=O)CC(C(C)=O)C(=O)C(C)=O
S4661e232cb14,CCC(C)C1CCC(CCOC)C1
S468a1305e7ef,CC1CCCC(C)S(=O)(=O)CC1
S46f60018b3ae,CCCC(C)C(C)(C)CCC(C)=O
S47844fb1745a,CC(C)(CS(=O)(=O)F)C1CC1
S47c98294ff41,CCOC(=O)C(CC(C)=O)C1CC1C
S483e2c366092,CCCC(C)C1OC(=O)C1C
S4bbc75ff2226,COCCC(C(C)C)C(C)C
S4c6e570a4396,CCCCC(C)CC(=O)CC
S4d0c8ac3ea88,CC(=O)C1C2CCC(CSC2)C1C
S4d2f15c975f3,COC(=O)OCCOC(C)F
S4e3c54e90875,CC(=O)C(C)(C)C(C)C#N
S50bb80543e6c,CCC(C)C(=O)CCC(C)(C)C(C)=O
S51a7cc6e236d,CCCC1C(CC)OCC1C1(C)CC1
S51cb37ed5e76,CCCCOS(C)(C)C(C)(C)C
S51f19d4718d1,CC1(C(F)F)CCCC1=O
S5300873bc4a7,CS(=O)(=O)C1CCCCC1
S53881e841fcf,COC(=O)C1(C)CCC12CCCC2
S53b96ba881ae,COc1cc(-c2ccccc2)c[nH]1
S540c9bce5ae8,CCCC(=O)C(C)C(C)(C)C
S54bc35cabc25,CC1CN2C(C)C3OC(=O)OC3C12
S54ea9a861261,CC1CC(OC=O)CCC2(C)CC2C1
S563675d9fccf,CCC(=O)C1(C)CC(C)CCCC1C
S590d3ec55b88,CCCC(F)(CC)C(C)=O
S5abea7358f4a,CCCC(C)C(C)CCC(=O)CC#N
S5abf042b60e2,CC(=O)CC1CC1C1CC(C)C2CC21
S5c7048949758,CCC(=O)C(C)C1SCCS1
S5d41d348fe74,CC(=O)CCC1CC(=O)C1C(C)C
S6025d9407903,CCC12CC(CCCCC1=O)C2
S618f437d963b,CC(=O)CCC1CCC(C)O1
S6500218e7fd1,CCOC(=O)OCOCC(C)Cl
S652d24891b1c,CCCC(=O)C(C)C(C)C(C)C(C)C
S66c63f162273,CCC1C(OC(C)=O)OC(=O)C1C#N
S66cc5bdb407d,CCC(=O)C(CCC(C)C)OC
S677f2e1835a5,COCC1C2C(C)C2C(C)CC1(C)C
