row_index,csv_line,key,salt,solvent,concentration,cation,anion,solvent_key,mw_solvent,mw_salt,n_solvent,n_salt,solv_per_ion_pair,box_build_nm,n_atoms_est,solvent_ff,clamped,stage
0,2,el1b9320f16a4d,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCC1(C)CC(COC(C)OC(=O)OC)N(C)C1,0.6,Li,FSI,Sfd0a466af374,259.346,187.074,384,64,6.0,6.4832,17152,True,False,not_built
1,3,ele949ba8b0845,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCCCC(C)C(CCCC(C)=O)CC(C)C,2.6,Li,FSI,S0d1b0909e56e,240.431,187.074,73,64,1.141,3.9766,4217,True,False,not_built
2,4,el9d7d6d6cedbe,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCCCCC1CCC(=O)C1,0.8,Li,FSI,S4d121182f128,154.253,187.074,473,64,7.391,5.8904,14357,True,False,not_built
3,5,ela80f0af79c70,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCC(C)C1CC(C)(C)COC(C(C)C)C1=O,2.5,Li,FSI,S09fc67f7c665,240.387,187.074,77,64,1.203,4.029,4105,True,False,not_built
4,6,el4f3bbcd28325,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCCC(C)C(C=O)C(=O)C(C)(C#N)C=O,0.3,Li,FSI,S43cb09a11d9d,223.272,187.074,924,64,14.438,8.1683,31132,True,False,prod
5,7,eldd7fadc83d16,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCC1C(C)CC(C)C(C)(C)CC1C(C)C#N,2.5,Li,FSI,S3bde45fdd497,235.415,187.074,79,64,1.234,4.029,4274,True,False,not_built
6,8,el59786d310291,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCCCOCCC(C=O)CS(C)(=O)=O,2.5,Li,FSI,S578d45ee3bc1,236.333,187.074,79,64,1.234,4.029,3405,True,False,not_built
7,9,elcfafad328466,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCCC(C)CC(C)C(C=O)C(C)C(C)(C)C,2.4,Li,FSI,S149f70cf59a4,240.431,187.074,82,64,1.281,4.0841,4658,True,False,not_built
8,10,elc57286afc8f0,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCC(CC(CC)C(C)C(C)C)OC(C)=O,2.1,Li,FSI,Sce73bf087665,228.376,187.074,103,64,1.609,4.27,5172,True,False,not_built
9,11,elc3f5d64ecf50,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCCC1CCS(=O)(=O)CC(CC#N)C1,1.6,Li,FSI,S437364f757dc,229.345,187.074,144,64,2.25,4.6752,5536,True,False,not_built
10,12,el2481cbb536d3,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCC1(C)CC2(C)CCC1C2,2.2,Li,FSI,S0c74607500d6,152.281,187.074,145,64,2.266,4.2043,5135,True,False,not_built
11,13,elf2251436fa76,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCCCC1CCC(C(C#N)CC(C)(C)C)C1,1.0,Li,FSI,S91d57a82e7dd,235.415,187.074,242,64,3.781,5.4681,11772,True,False,not_built
12,14,el65f7130bfa06,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCC1(C=O)OC(C=O)CC1CC(C)(C)C,2.4,Li,FSI,S9af7c371782a,226.316,187.074,87,64,1.359,4.0841,3946,True,False,not_built
13,15,el240f4410ab8f,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCC(C#N)(CC)CCCC(C#N)C(=O)OC,1.8,Li,FSI,S6b53f3ab931a,236.315,187.074,121,64,1.891,4.4952,5117,True,False,not_built
14,16,el85a9271e3dbc,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCOCS(=O)(=O)C(C)(C)C(C)CCC(C)=O,1.5,Li,FSI,Se0da9584eda9,264.387,187.074,135,64,2.109,4.7768,6175,True,False,not_built
15,17,el613308a86a23,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCC(CC)CC(C)(CCl)CCCl,1.7,Li,FSI,S2e93d76bbdc1,225.203,187.074,136,64,2.125,4.5817,5400,True,False,not_built
16,18,elbe42f2ab6c77,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CC1(C)CC1(C=O)CCCS(=O)(=O)CC=O,1.8,Li,FSI,S38f2103258d1,246.328,187.074,116,64,1.812,4.4952,4584,True,False,not_built
17,19,ele9042223c779,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCCCCC(=O)CC(C)(CCC(C)CC)C(=O)OC,0.4,Li,FSI,Sbd5e44682758,284.44,187.074,538,64,8.406,7.4214,28616,True,False,not_built
18,20,el2dbcadf44c0a,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,COC1CC2C(C(C)=O)C(C)CCC23CC13,0.6,Li,FSI,S3c1d02853ec7,222.328,187.074,448,64,7.0,6.4832,17664,True,False,not_built
19,21,el6768f4ae1279,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCN(C)C(C1CCC1C(C)=O)S(=O)(=O)C#N,0.9,Li,FSI,S8191dc4be841,258.343,187.074,248,64,3.875,5.6636,9320,True,False,not_built
