salt,solvent,concentration,solv_per_ion_pair
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCC1(C)C2CC(C)C(C)C21,0.43,14.55
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,C#Cc1sccc1C(C)(C)C,1.32,3.94
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CC(F)CC(C)(F)C#N,0.52,13.62
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CC1CCC(=O)C(C)(C)CC1C,1.28,3.99
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCCCCCC(=O)CC(C)CCC,0.3,16.25
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCC(C)CCCC1C2CCC12C,1.28,3.72
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CC1C2C(C)(C)C3CC3(C)C12C,1.28,4.09
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCC12CC(CN(C)CC1C)C1CC12,1.23,3.64
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CC1CCC(C)C12C(=O)CCCC2=O,1.1,4.11
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCCCC(C)S(=O)(=O)Cl,0.88,5.56
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,C1CC2CC3C4CCC1C4C23,1.14,5.17
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCCCCC(C)(C)CCC(C)C#N,0.61,7.83
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCC(C)OC(=O)CSC,1.23,4.33
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCCCC1CC(CCC(C)C)C1,0.97,5.05
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CC1CCC2C(C)CC(C)C2C1,0.83,6.58
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,C1C2CC3C4CC5CC4C3C1CC25,0.92,5.61
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,COCC1C2C(C)C2C(C)CC1(C)C,0.97,4.69
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCCC1C(C)C1C1CC1CC,0.34,17.02
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CC(=O)CC1CC1C1CC(C)C2CC21,0.43,11.52
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCC1(C)CC(=O)CCC1(C)C,0.57,9.77
