smiles,mol_weight,exact_mol_weight
CCCCC1CC1C1C(=O)CCC1C,194.31799999999996,194.167065324
CC1CC2C3C(C)(C)CCC23O1,166.26399999999998,166.135765196
CCOC(=O)CC1CC1C1CCCC1,196.28999999999994,196.14632988
CCCC(C)(C1CCC1)C1CCC1C,194.36199999999997,194.203450832
COC1CCCC(C2CCC3CC32)C1,194.31799999999998,194.167065324
CCCCCOC(=O)C(C)C,158.24099999999999,158.130679816
CC(C)CCCC(C)C(C)SC#N,199.363,199.139470672
CC1CCCC(C)S(=O)(=O)CC1,190.30799999999996,190.102750816
CC(C)C1CCC(CCC#N)C1C,179.30700000000002,179.167399672
C1CCCC23CCCC2C(CC1)C3,178.31899999999996,178.172150704
CC(=O)OCP,106.06100000000002,106.018366094
C=Cc1ccc(C(C)=O)s1,152.218,152.029585876
CCCC(=O)C(CC)CC(C)(C)F,188.28599999999997,188.157643512
CCC1C(C)C(C)CC1C(C)(C)CC,196.37799999999996,196.219100896
CCCCCC1CCCC1CCC,182.35099999999997,182.203450832
CCCCC(=O)C(C)(C)C(C)CC,184.32299999999998,184.182715388
COC1C(C(C)=O)C2CCC3CC31C2,194.27399999999997,194.130679816
CCS(=O)(=O)CCCC(C)(C)F,196.28699999999998,196.093329004
CC1CC(CCC(=O)OC(C)(C)C)C1,198.30599999999998,198.161979944
CC(=O)C1CC(C)CCC1C,154.25300000000001,154.135765196
CCCCC(CC)C(C)CC(C)C,184.36699999999996,184.219100896
CCCCC(C)CC(=O)CC,156.26899999999998,156.15141526
CCCCC(C#N)CC(C)CC(C)C,195.34999999999997,195.19869979999999
CCCC(C)N(CC)CC(=O)CC,185.31099999999998,185.177964356
CCC12COC(CC1C)CC2(C)C,182.30699999999996,182.167065324
CC1CC2CCCC(C(C)C)(C1)C2=O,194.31799999999998,194.167065324
CC(Cl)CCC(C)C(F)(F)F,188.61999999999998,188.057962724
CC(C)CCC1C(C)CC(C)C1(C)C,196.378,196.219100896
CCCC(C(C)C)C(C)C(=O)OC,186.29499999999996,186.161979944
CSC1(C)CCC(=O)C(C)C1,172.29299999999998,172.092186132
CCC(C)SC(C#N)C(CC)CC,199.36299999999994,199.139470672
CCCCC(C)C(=O)C1CO1,156.22499999999997,156.115029752
CC1C2CC3CC14CC32CC4=O,162.23199999999997,162.104465068
CCCCC1CC(CCC(C)C)C1,182.35099999999997,182.203450832
CC(C)C(C)C(F)(F)C(F)C(C)C,196.256,196.143885268
CCCCC(C)C(C)SOC,176.32499999999996,176.12348626
CCC1CCCCC(CC)C(=O)O1,184.279,184.14632988
CC(C)C(C)OC(C)C(F)(F)F,184.20099999999996,184.10749976
CCC(=O)C(C)CS(=O)C(C)C,190.308,190.102750816
CCCC(=O)CC(CC#N)C(C)(C)C,195.30599999999995,195.162314292
CC1CCC(=O)C(C)(C)CC1C,168.27999999999997,168.15141526
CCC1C(C)CC12CCS2(=O)=O,188.292,188.087100752
CCCCC(C)C(=O)C(C)(C#N)CC,195.30599999999995,195.162314292
COCC(CC(C)C)C12CCCC1C2,196.33399999999995,196.182715388
CC(CS(C)(=O)=O)C(F)CF,186.22299999999996,186.052607064
CCN(C)S(=O)(=O)CC(C)C,179.28499999999997,179.097999784
CC1C(=O)C(C#N)CC2CCCC21,177.24699999999996,177.1153641
COC(=O)C(C)CC(C)(C)C(C)C,186.295,186.161979944
CCC1CCC2OC(=O)OC12,156.18099999999998,156.078644244
CCC(C)C1CCC(CCOC)C1,184.32299999999995,184.182715388
COC(=O)CC1(CC(C)C)CCC1,184.27899999999997,184.14632988
CCCC(CC)(CC)CCl,162.704,162.117528288
CCCOC(=O)OCCC(C)OC,190.23899999999998,190.120509056
CC1CCC1CC1(C#N)CC(C)(C)C1,191.31799999999996,191.167399672
CCCC(Cl)C(C#N)CC,159.65999999999997,159.081477128
CCCCCCCCC(C)CCF,188.32999999999996,188.19402902
CCC1CC(C)CC1(C)CC,154.29699999999997,154.172150704
CCC1CC2C(OC)CC(C)C2(C)C1,196.33399999999997,196.182715388
C1C2C1C1C2CC2CC21C1CC1,160.25999999999996,160.125200512
CC12CCCC1(C)C(C(=O)C#N)CC2,191.27399999999997,191.131014164
CC(C#N)CC1CCCC1,137.226,137.12044948
CC1C2CC3CC3C(C#N)C(C2)C1C,189.30199999999996,189.151749608
CCC1(OOC)CC1C,130.18699999999998,130.099379688
COC(=O)C1CCCC(C(C)C)C1C,198.306,198.161979944
CC1CC2CC3(C)CC(C1)(C2)C3,164.29199999999997,164.15650064
CC(=O)CC(C)CCOC(C)=O,172.224,172.109944372
CC1CC(CC(=O)C#N)C1,137.182,137.084063972
CC1CC(C2C(C)C(C)CC2(C)C)C1,194.36199999999994,194.203450832
CCCC(CC)COC(=O)OCC,188.26699999999997,188.1412445
CCCCC(C)(CC)CCC(C)=O,184.32299999999998,184.182715388
C1CC2CC2C(C2CC2)C1,136.23799999999997,136.125200512
CCC1CCC(CCCCCl)C1,188.742,188.133178352
CCCC(C)CC1(C#N)CCC(C)C1,193.33399999999997,193.183049736
CCC(CC)C(=O)CS(C)(=O)=O,192.27999999999997,192.082015372
CCCC(C#N)CCCC(C)(C)CC,195.35,195.19869979999999
CCCC(Cl)(Cl)C(F)(F)F,195.01099999999997,193.987690244
CC(C)C(=O)C(=O)C(C)(C)CC#N,181.23499999999996,181.11027872
CC(Cl)CC(C#N)CC(C)(C)C,187.71399999999997,187.112777256
CCC1CC(C)(CC)C(=O)CC1(C)C,196.33399999999997,196.182715388
CC(C)CC(F)(F)C(C)CF,168.20199999999997,168.11258514
CC(C)N(C(C)C)C(C)C1(C)CC1,183.33899999999994,183.19869979999999
CCCC1(C)CC(=O)C12CCCC2C,194.31799999999996,194.167065324
CC1C2C3CC4C5CCC1(C54)C32,160.26000000000002,160.125200512
CC1C(=O)C2CCCC2C1=O,152.19299999999998,152.083729624
CCC(C#N)CS(=O)(=O)CC,175.253,175.066699656
CC(F)C(=O)C1(C)CCCO1,160.18799999999996,160.089957876
CCC(C)CC(C(C)C#N)C(C)(C)C,195.34999999999997,195.19869979999999
CC(C)C(C)CCCC(=O)C#N,167.252,167.131014164
CC1CCC(=O)CC(=O)C12CCCC2,194.27399999999994,194.130679816
CC(=O)CCC1CC(=O)C1C(C)C,182.263,182.130679816
CCCCC(C)(C)CCCC(C)C,184.367,184.219100896
CCC1CC1C1CC(CC(C)C)C1,180.33499999999998,180.187800768
CC(=O)CC1CC1C1CC(C)C2CC21,192.302,192.15141526
CCCC(=O)C(=O)OC,130.14299999999997,130.06299418
CC1=C[C@H](F)C=CO1,114.11899999999999,114.048093064
CC1CCC2CC(C)(C1)C1CC21C,178.319,178.172150704
CC(F)CC1CC(C)C(C)C(C)C1,186.314,186.178378956
COC(=O)C(=O)C(C)CC(C)Cl,192.642,192.055321956
CC(C)C1CCCC1(C)C#N,151.25300000000001,151.136099544
CC1CCC1(C)C1(C(C)C)CC1(C)C,194.36199999999997,194.203450832
CC1C2CC3C(C2)C3C1CC#N,161.24799999999996,161.12044948
CC(C)CCOC(=O)C(C)(C)F,176.23099999999997,176.121258004
CC1CC12CC1(CC1)C2,122.211,122.109550448
